Lat,Long
37.35674997,-122.0398602
37.28002205,-121.9079501
37.35627656,-122.0582232
37.41545203,-122.0199586
37.25728784,-121.8179516
37.4395786,-121.9189652
37.40747997,-122.0056778
37.3604005,-121.9050285
37.2469164,-121.9249154
37.27434794,-121.9286393
37.32704535,-122.0221896
37.21891453,-121.9952141
37.36188564,-121.832213
37.32232193,-122.0666509
37.21678749,-121.982759
37.41743047,-122.087321
37.32219981,-122.039162
37.38715871,-121.9281054
37.08883277,-121.6176223
37.43976523,-121.9258876
37.30511893,-121.9247349
37.34875467,-121.9924927
37.21680511,-121.823855
37.45682194,-121.8939508
37.4051362,-122.048135
37.40484933,-121.8571163
37.29749821,-121.7892513
37.21941521,-121.8453253
37.35958373,-122.017522
37.0192285,-121.5607213
37.41991904,-121.8712477
37.26266243,-121.9708187
37.39675913,-122.0826427
37.21663828,-121.9802101
37.30497117,-121.9831214
37.35514483,-122.0535862
37.42382441,-121.9317872
37.33708108,-121.8497349
37.07347968,-121.609239
37.37975837,-122.1270173
37.39029627,-121.8812391
37.52421354,-121.970237
37.50722977,-121.9377573
37.09446968,-121.6359603
37.33434117,-121.8068136
37.32320109,-121.9520109
37.23976132,-121.9655602
37.15679731,-121.6899888
37.31290043,-121.8501639
37.40859799,-122.0066219
