Lat,Long
37.53823394,-121.9913023
37.12610459,-121.6727845
37.38122985,-121.8597418
37.38554689,-121.8595699
37.29366296,-121.8124195
37.29479683,-121.8694274
37.3908467,-122.0058205
37.28532413,-122.0457746
37.13139428,-121.6685202
37.25171637,-121.9067939
37.39414947,-122.0269143
37.02953645,-121.5541798
37.2554453,-121.9480581
37.32065934,-121.9962338
37.28794302,-121.8102306
37.30547396,-121.9438014
37.37373151,-121.9078933
37.46578661,-121.8908071
37.43090853,-122.1031983
36.97395081,-121.5623485
37.38482255,-121.9468811
37.28945214,-121.7986052
37.27494453,-121.8292242
37.27812838,-121.8789756
37.30691324,-121.9813191
37.3867071,-122.1443693
37.11986896,-121.6391702
37.00303518,-121.5448629
37.26160811,-122.0190107
37.37390135,-121.9675852
37.24203813,-121.8003862
37.41299752,-121.8904021
37.18433065,-121.6920278
37.1248047,-121.6500473
37.22441276,-121.7832061
37.34481794,-122.0250799
37.34812223,-122.0002464
37.28126201,-122.0200783
37.34739091,-122.0465129
37.34056526,-121.8240004
37.29485232,-121.9766828
37.49294165,-121.9324044
37.29099413,-121.9904066
37.34117588,-121.8626378
37.47534811,-121.932277
37.20527828,-121.6937966
37.28007569,-122.003306
37.23295773,-121.8950451
37.41751687,-122.0966769
37.02809869,-121.5776277
